"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"1146.763","1918","Valencia","2312","9","1000","2315","5"
"7520.378","936","Santiago","15146","152","1000","15151","6"
"143.026","6803","Chandigarh","637","3","1000","1974","5"
"375.219","32","Palmdale","2079","4","1000","2954","4"
"1024.531","34","Stockton","2894","3","1000","2947","4"
"2177.818","35","Modesto","4380","14","1000","4380","4"
"1479.972","8565","Raipur","3002","3","1000","3006","4"
"1175.052","7236","Panaji","1602","196","1000","1602","8"
"1404.461","7235","Indore","2712","62","1000","2713","5"
"1356.252","9535","Bhubaneshwar","2040","202","1000","2040","9"
"1621.072","3430","Athens","3212","13","1000","3217","4"
"38.78","385","Wichita","256","2","1000","2962","4"
"711.79","143","Ciudad Juárez","1391","3","1000","1392","6"
"5.27","1009","Springfield","28","1","1000","2408","2"
"89.227","387","Tulsa","742","2","1000","5810","4"
"4097.0","266","Colorado Springs","12162","61","1000","12469","6"
"4659.812","7909","Thrissur","6743","368","1000","6744","8"
"887.776","1247","Curitiba","1274","158","1000","1275","11"
"2332.902","1367","Rio de Janeiro","3060","487","1000","3060","12"
"1056.086","821","Santo Domingo","2190","44","1000","2206","9"
"570.151","2455","Frankfurt am Main","1195","9","1000","1195","5"
"5.997","1002","Hartford","33","1","1000","3735","2"
"2964.568","1123","Ciudad del Este","4241","303","1000","4242","10"
"7.348","824","Pittsburgh","43","1","1000","23669","2"
"702.86","12349","Sha Tin","1374","30","1000","1376","6"
"11.259","706","Dayton","73","1","1000","6688","2"
"522.733","46","Fresno","2763","1","1000","4156","4"
"3564.662","8331","Salem","7121","14","1000","7131","2"
"469.124","49","Sacramento","4037","2","1000","38368","4"
"1261.791","3684","Johannesburg","3594","4","1000","3679","7"
"42669.335","1022","Montreal","82951","406","1000","82955","3"
"572.401","1143","Montevideo","1999","5","1000","2198","7"
"1059.544","2473","Zurich","1833","11","1000","1834","5"
"54015.857","273","Denver","100508","2060","1000","100890","6"
"10495.419","394","San José","15763","1137","1000","15764","13"
"969.646","274","Austin","7296","13","1000","48993","6"
"24.464","1812","Bournemouth","154","1","1000","1008","4"
"6445.514","155","Mexico City","12568","67","1000","12579","7"
"245.066","399","Baton Rouge","1336","2","1000","10205","5"
"70075.476","950","New York","287339","2046","1000","330715","5"
"10.372","1014","Providence","58","1","1000","14714","2"
"180.069","711","Charlotte","1211","2","1000","5832","3"
"3688.728","954","Brick","14134","8","1000","15277","3"
"5.62","955","Syracuse","29","1","1000","8484","2"
"226.561","2907","Rome","925","4","1000","1383","5"
"324.175","5734","Kuwait City","1387","6","1000","1545","4"
"11.854","839","London","90","1","1000","14769","2"
"2677.776","56","Indio","5261","22","1000","5270","6"
"9657.046","13097","Sydney","23910","537","1000","25088","12"
"1.967","4783","Izhevsk","9","1","1000","1127","1"
"4070.458","7930","Mysuru","8102","68","1000","8107","4"
"580.504","3574","Istanbul","2377","7","1000","3260","5"
"2203.344","289","Guatemala City","3348","387","1000","3351","12"
"1332.504","1820","Pamplona","5224","21","1000","10280","5"
"847.45","1027","Boston","6364","1","1000","123214","3"
"1401.128","3686","Moscow","2678","20","1000","2678","3"
"4.348","12445","Seoul","26","1","1000","2868","2"
"7476.498","1708","Madrid","14711","98","1000","14713","6"
"538.108","728","Cusco","1015","39","1000","1044","8"
"959.04","65","Hermosillo","1717","59","1000","1717","8"
"1398.739","11000","George Town","1862","92","1000","1862","10"
"10.101","172","Boise","56","1","1000","16902","3"
"17.934","1040","Cordoba","93","1","1000","3131","6"
"10.459","730","Grand Rapids","83","1","1000","15507","2"
"8847.451","852","Virginia Beach","26860","9","1000","27207","3"
"7.883","734","Columbus","43","1","1000","47906","2"
"759.835","855","Newport News","3593","3","1000","5032","3"
"15205.383","977","Bridgeport","41803","80","1000","43810","4"
"17597.914","7932","Kochi","32683","1077","1000","32751","7"
"1774.387","12333","Hong Kong","5152","50","1000","5320","6"
"909.079","74","Las Vegas","3945","7","1000","5370","6"
"50.102","1716","Glasgow","308","2","1000","1050","4"
"15.183","1836","Newcastle upon Tyne","120","1","1000","1857","4"
"106.491","1715","Granada","565","1","1000","1283","4"
"2445.59","8003","Palakkad","3989","250","1000","3991","5"
"17710.452","79","Phoenix","55293","1224","1000","61187","9"
"31192.238","13076","Melbourne","60011","1525","1000","60300","7"
"557.003","2144","Brussels","1078","9","1000","1078","5"
"5.876","1053","Quebec","27","1","1000","45693","2"
"1715.011","187","Vancouver","13490","18","1000","54239","5"
"10.164","860","Washington D.C.","89","1","1000","176705","2"
"19.355","1602","Rabat","131","1","1000","1912","4"
"78.729","3228","Warsaw","620","2","1000","1089","4"
"5837.579","862","Caracas","7917","1506","1000","7917","13"
"130.78","501","Bradenton","1113","4","1000","52425","5"
"32747.078","502","Tampa","64431","143","1000","64474","6"
"4843.956","624","Bogota","6098","1354","1000","6100","13"
"905.695","5767","Tehran","1550","54","1000","1550","5"
"4978.175","627","Louisville","18758","18","1000","19851","3"
"3586.82","628","Winnipeg","17289","3","1000","24473","3"
"8527.581","84","Tucson","32081","234","1000","47498","8"
"1658.961","7824","Guruvayur","2443","78","1000","2444","6"
"5422.294","11699","Perth","10772","52","1000","10782","4"
"3390.201","508","Cape Coral","6653","25","1000","6655","6"
"2690.879","2937","Prague","7583","38","1000","7868","5"
"601.197","88","Guadalajara","1175","18","1000","1176","8"
"176.068","192","Provo","887","6","1000","2694","5"
"8515.958","193","Salt Lake City","23056","162","1000","24043","6"
"2368.6","8010","Kollam","7982","156","1000","8642","5"
"6089.257","196","Albuquerque","21277","104","1000","32973","6"
"16.292","870","Kitchener","133","1","1000","12446","2"
"833.874","992","Port of Spain","1675","54","1000","1741","9"
"7140.905","994","Ottawa","37759","1","1000","60631","3"
"2206.011","514","Cali","3380","236","1000","3380","14"
"2664.686","759","Toledo","5390","11","1000","5390","3"
"19225.633","639","Chicago","116847","340","1000","221825","6"
"812.994","7714","Thalassery","1528","35","1000","1529","4"
"1830.138","4328","Tel Aviv","4985","122","1000","5314","6"
"49.788","1858","Murcia","320","1","1000","1530","4"
"655.606","6882","Vasai-Virar","1614","47","1000","1659","6"
"3066.813","8145","Thiruvananthapuram","5346","372","1000","5353","6"
"1074.865","7973","Nagpur","2084","27","1000","2084","6"
"1277.616","3255","Helsinki","3317","23","1000","3375","5"
"414.586","7292","Jalgaon","1097","30","1000","1104","5"
"787.921","2285","Dortmund","2360","3","1000","2423","5"
"1835.091","8021","Ettumanoor","3229","273","1000","3231","7"
"12912.425","880","Toronto","68250","101","1000","133477","4"
"137.329","640","Joliet","991","2","1000","1950","3"
"726.3","1744","Bilbao","1303","62","1000","1305","6"
"12902.147","642","Madison","37318","15","1000","38421","3"
"15473.321","885","Baltimore","30005","6","1000","30066","3"
"923.31","402","New Orleans","6434","6","1000","18205","6"
"449.44","889","La Serena","1845","10","1000","2032","6"
"9556.871","6998","Delhi [New Delhi]","19010","69","1000","19011","6"
"5508.927","405","Edmonton","20511","28","1000","21229","3"
"6523.83","11554","Singapore","12013","339","1000","12023","11"
"1954.321","12761","Kaohsiung","3925","11","1000","3931","6"
"796.621","8819","Kathmandu","1202","95","1000","1202","8"
"383.944","7969","Alappuzha","1153","1","1000","1162","2"
"3037.21","13183","Auckland","6184","13","1000","6185","4"
"22.593","2176","Amsterdam","139","1","1000","1769","4"
"312.135","2054","Paris","1812","3","1000","3720","5"
"6382.625","7062","Dehradun","8804","922","1000","8810","11"
"1092.076","8154","Tiruppur","3936","4","1000","4346","3"
"232.381","1878","Zaragoza","1405","2","1000","3493","4"
"864.364","650","Villavicencio","1063","247","1000","1063","14"
"4403.821","530","Lima","6667","237","1000","6668","6"
"19.555","1756","Edinburgh","98","1","1000","2431","4"
"7.165","895","Buffalo","41","1","1000","22463","2"
"439.177","532","Nashville","2778","1","1000","5866","3"
"33573.323","775","Detroit","66799","45","1000","66847","3"
"7268.301","413","Kansas City","14626","51","1000","14650","4"
"2382.296","655","Indianapolis","14511","7","1000","21135","3"
"1942.111","1079","Asuncion","2798","130","1000","2800","11"
"6277.638","6887","Mumbai","11990","507","1000","11994","8"
"3206.904","419","Omaha","6168","139","1000","6170","5"
"557.798","1639","Seville","1993","8","1000","2431","5"
"323.745","6660","Jalandhar","1075","1","1000","1350","5"
"815.674","13030","Adelaide","1990","29","1000","2040","5"
"1231.614","9933","Dhaka","2972","65","1000","3000","7"
"1641.47","7634","Payyanur","2473","163","1000","2473","6"
"1191.005","2860","Berlin","2835","57","1000","2888","5"
"829.307","3278","Cape Town","1417","48","1000","1417","7"
"42.316","780","Raleigh","352","1","1000","7186","2"
"814.683","3392","Sofia","1224","7","1000","1224","5"
"2829.934","12749","Yuanlin City","4267","177","1000","4267","5"
"5040.266","12748","New Taipei [Taipei]","17579","354","1000","33111","8"
"52.08","3709","Pretoria","270","2","1000","1453","6"
"1136.044","544","Pereira","1475","176","1000","1475","13"
"26.531","666","Waukegan","281","1","1000","13366","2"
"2313.924","2059","Barcelona","7789","46","1000","9044","7"
"490.382","669","Lexington","3894","1","1000","10072","3"
"606.071","429","Guayaquil","1032","117","1000","1032","11"
"1083.722","8719","Puducherry","1624","49","1000","1624","3"
"2066.039","12745","Taichung","4308","53","1000","4367","5"
"628.339","12743","Hsinchu","1883","3","1000","1966","4"
"1312.967","11536","Phnom Penh","1873","133","1000","1874","6"
"7186.354","3280","Belgrade","14312","135","1000","14315","5"
"13075.11","8733","Chennai","23599","1429","1000","23938","7"
"528.474","3042","Zagreb","1499","12","1000","1528","5"
"1571.731","8052","Hyderabad","5005","40","1000","5379","5"
"7714.933","7086","Pune","11804","630","1000","11809","7"
"2837.383","4370","Jerusalem","3967","712","1000","3970","7"
"11891.359","795","Cleveland","42510","99","1000","46837","4"
"51.437","2503","Oslo","252","1","1000","1419","4"
"4602.62","557","Minneapolis [Saint Paul]","25233","175","1000","83516","4"
"213.474","2983","Stockholm","1068","3","1000","1876","4"
"7188.541","679","Milwaukee","31115","9","1000","42276","3"
"43675.01","316","Houston","86884","1363","1000","86896","7"
"1005.831","3037","Vienna","1926","25","1000","1931","5"
"56329.704","559","Miami","84477","3387","1000","84504","9"
"3401.934","12754","Chiayi","6512","54","1000","6515","6"
"1743.759","12755","Tainan","2606","233","1000","2607","5"
"12341.866","13130","Brisbane","22744","912","1000","22746","12"
"937.561","11197","Kuala Lumpur","1657","121","1000","1658","10"
"4243.878","7655","Kannur","5869","628","1000","5870","8"
"28687.8","562","Atlanta","56307","39","1000","56311","4"
"80.553","2757","Copenhagen","473","2","1000","1507","4"
"1037.787","200","Monterrey","2396","101","1000","2451","9"
"4676.287","322","San Salvador","9734","586","1000","9815","10"
"7.266","685","Cincinnati","73","1","1000","11250","2"
"2311.871","564","Medellín","2832","638","1000","2832","13"
"3385.184","444","Memphis","5093","242","1000","5096","5"
"8707.168","324","Dallas","44385","119","1000","57508","6"
"12.672","1786","Manchester","76","1","1000","6915","4"
"94.163","1663","Dublin","835","2","1000","5651","4"
"1908.283","569","Manizales","2763","321","1000","2767","12"
"15.148","207","Ogden","92","1","1000","4091","3"
"804.774","7769","Kozhikode","2161","26","1000","2225","4"
"74.7","3606","Tver","431","2","1000","1030","2"
"185.001","6693","Ahmedabad","1010","9","1000","1429","5"
"791.857","7542","Mangaluru","2021","62","1000","2355","8"
"5864.232","8070","Coimbatore","7864","949","1000","7865","7"
"92.065","571","Orlando","450","6","1000","23057","5"
"59.109","1557","Lisbon","391","1","1000","15149","4"
"764.778","2401","Basel","1407","7","1000","1407","5"
"8409.555","459","Panama City","15086","937","1000","15113","11"
"1111.807","7899","Lucknow","2542","88","1000","2586","6"
"1067.056","219","Xalapa","1968","119","1000","1972","10"
