"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"10.159","172","Boise","60","1","1000","16902","3"
"10.589","1040","Cordoba","53","1","1000","3131","5"
"2.52","730","Grand Rapids","17","1","1000","15507","1"
"5.568","852","Virginia Beach","25","1","1000","27207","2"
"8.1","734","Columbus","45","1","1000","47906","2"
"8.793","855","Newport News","62","1","1000","5032","2"
"6.584","977","Bridgeport","46","1","1000","43810","2"
"1.808","7932","Kochi","11","1","1000","32751","1"
"5.51","12333","Hong Kong","30","1","1000","5320","1"
"5.118","74","Las Vegas","28","1","1000","5370","3"
"2.065","1716","Glasgow","10","1","1000","1050","2"
"7.673","1836","Newcastle upon Tyne","45","1","1000","1857","3"
"2.407","1715","Granada","11","1","1000","1283","3"
"1.472","8003","Palakkad","6","1","1000","3991","1"
"6.621","79","Phoenix","30","1","1000","61187","5"
"4.663","13076","Melbourne","22","1","1000","60300","2"
"1.857","2144","Brussels","8","1","1000","1078","2"
"5.684","1053","Quebec","40","1","1000","45693","2"
"3.812","187","Vancouver","26","1","1000","54239","1"
"9.741","860","Washington D.C.","60","1","1000","176705","2"
"4.021","1602","Rabat","20","1","1000","1912","3"
"4.139","3228","Warsaw","22","1","1000","1089","2"
"5.349","862","Caracas","27","1","1000","7917","2"
"10.889","501","Bradenton","53","1","1000","52425","3"
"7.993","502","Tampa","42","1","1000","64474","3"
"2.663","624","Bogota","16","1","1000","6100","2"
"9.629","5767","Tehran","61","1","1000","1550","2"
"1.96","627","Louisville","11","1","1000","19851","1"
"9.131","628","Winnipeg","66","1","1000","24473","1"
"5.737","84","Tucson","26","1","1000","47498","4"
"4.464","7824","Guruvayur","23","1","1000","2444","1"
"8.086","11699","Perth","47","1","1000","10782","1"
"12.565","508","Cape Coral","76","1","1000","6655","4"
"7.192","2937","Prague","50","1","1000","7868","3"
"4.48","88","Guadalajara","21","1","1000","1176","4"
"6.561","192","Provo","36","1","1000","2694","2"
"4.613","193","Salt Lake City","21","1","1000","24043","3"
"3.118","8010","Kollam","24","1","1000","8642","1"
"5.33","196","Albuquerque","25","1","1000","32973","4"
"2.319","870","Kitchener","12","1","1000","12446","1"
"8.08","992","Port of Spain","41","1","1000","1741","4"
"10.688","994","Ottawa","75","1","1000","60631","2"
"5.354","514","Cali","28","1","1000","3380","3"
"8.663","759","Toledo","52","1","1000","5390","2"
"6.785","639","Chicago","34","1","1000","221825","2"
"2.423","7714","Thalassery","12","1","1000","1529","1"
"8.036","4328","Tel Aviv","56","1","1000","5314","3"
"7.401","1858","Murcia","59","1","1000","1530","3"
"1.296","6882","Vasai-Virar","4","1","1000","1659","1"
"2.282","8145","Thiruvananthapuram","13","1","1000","5353","1"
"8.174","7973","Nagpur","49","1","1000","2084","2"
"7.925","3255","Helsinki","46","1","1000","3375","2"
"1.113","7292","Jalgaon","4","1","1000","1104","1"
"7.668","2285","Dortmund","50","1","1000","2423","3"
"2.436","8021","Ettumanoor","10","1","1000","3231","1"
"5.135","880","Toronto","26","1","1000","133477","2"
"3.36","640","Joliet","18","1","1000","1950","1"
"7.348","1744","Bilbao","39","1","1000","1305","3"
"2.602","642","Madison","13","1","1000","38421","1"
"4.14","885","Baltimore","38","1","1000","30066","2"
"4.9","402","New Orleans","29","1","1000","18205","2"
"4.54","889","La Serena","27","1","1000","2032","3"
"4.143","6998","Delhi [New Delhi]","23","1","1000","19011","3"
"5.501","405","Edmonton","41","1","1000","21229","1"
"5.174","11554","Singapore","26","1","1000","12023","3"
"4.502","12761","Kaohsiung","23","1","1000","3931","2"
"7.132","8819","Kathmandu","47","1","1000","1202","2"
"1.933","7969","Alappuzha","12","1","1000","1162","1"
"2.287","13183","Auckland","13","1","1000","6185","1"
"2.096","2176","Amsterdam","10","1","1000","1769","2"
"1.698","2054","Paris","7","1","1000","3720","2"
"1.989","7062","Dehradun","9","1","1000","8810","1"
"2.441","8154","Tiruppur","14","1","1000","4346","1"
"2.071","1878","Zaragoza","13","1","1000","3493","3"
"3.955","650","Villavicencio","33","1","1000","1063","3"
"5.69","530","Lima","28","1","1000","6668","4"
"2.156","1756","Edinburgh","11","1","1000","2431","2"
"7.209","895","Buffalo","47","1","1000","22463","2"
"4.303","532","Nashville","29","1","1000","5866","2"
"9.398","775","Detroit","63","1","1000","66847","2"
"1.827","413","Kansas City","10","1","1000","14650","1"
"2.167","655","Indianapolis","12","1","1000","21135","1"
"3.898","1079","Asuncion","18","1","1000","2800","4"
"1.576","6887","Mumbai","11","1","1000","11994","1"
"2.641","419","Omaha","23","1","1000","6170","1"
"2.484","1639","Seville","13","1","1000","2431","2"
"3.434","6660","Jalandhar","19","1","1000","1350","3"
"2.952","13030","Adelaide","15","1","1000","2040","2"
"1.441","9933","Dhaka","8","1","1000","3000","1"
"3.559","7634","Payyanur","23","1","1000","2473","1"
"4.259","2860","Berlin","25","1","1000","2888","2"
"7.098","3278","Cape Town","51","1","1000","1417","4"
"2.459","780","Raleigh","16","1","1000","7186","1"
"5.008","3392","Sofia","38","1","1000","1224","2"
"1.776","12749","Yuanlin City","14","1","1000","4267","1"
"5.906","12748","New Taipei [Taipei]","42","1","1000","33111","3"
"6.964","3709","Pretoria","42","1","1000","1453","4"
"5.112","544","Pereira","27","1","1000","1475","3"
"2.666","666","Waukegan","14","1","1000","13366","1"
"2.989","2059","Barcelona","16","1","1000","9044","3"
"2.03","669","Lexington","12","1","1000","10072","1"
"10.017","429","Guayaquil","42","1","1000","1032","5"
"6.863","8719","Puducherry","36","1","1000","1624","1"
"9.512","12745","Taichung","65","1","1000","4367","2"
"5.615","12743","Hsinchu","43","1","1000","1966","3"
"4.21","11536","Phnom Penh","27","1","1000","1874","3"
"8.905","3280","Belgrade","66","1","1000","14315","3"
"1.522","8733","Chennai","7","1","1000","23938","1"
"4.748","3042","Zagreb","20","1","1000","1528","3"
"1.33","8052","Hyderabad","7","1","1000","5379","1"
"1.363","7086","Pune","7","1","1000","11809","1"
"3.63","4370","Jerusalem","25","1","1000","3970","2"
"2.563","795","Cleveland","17","1","1000","46837","1"
"2.73","2503","Oslo","12","1","1000","1419","2"
"6.66","557","Minneapolis [Saint Paul]","57","1","1000","83516","1"
"4.866","2983","Stockholm","32","1","1000","1876","2"
"2.813","679","Milwaukee","15","1","1000","42276","1"
"8.622","316","Houston","58","1","1000","86896","3"
"4.275","3037","Vienna","23","1","1000","1931","2"
"9.756","559","Miami","53","1","1000","84504","4"
"11.116","12754","Chiayi","93","1","1000","6515","2"
"7.094","12755","Tainan","32","1","1000","2607","2"
"9.874","13130","Brisbane","88","1","1000","22746","3"
"4.421","11197","Kuala Lumpur","30","1","1000","1658","3"
"1.906","7655","Kannur","10","1","1000","5870","1"
"6.069","562","Atlanta","30","1","1000","56311","2"
"3.246","2757","Copenhagen","19","1","1000","1507","2"
"11.059","200","Monterrey","72","1","1000","2451","4"
"4.497","322","San Salvador","18","1","1000","9815","4"
"7.337","685","Cincinnati","44","1","1000","11250","2"
"4.87","564","Medellín","30","1","1000","2832","3"
"2.817","444","Memphis","23","1","1000","5096","1"
"6.838","324","Dallas","36","1","1000","57508","3"
"6.645","1786","Manchester","46","1","1000","6915","3"
"7.215","1663","Dublin","42","1","1000","5651","3"
"13.69","569","Manizales","62","1","1000","2767","4"
"6.472","207","Ogden","35","1","1000","4091","2"
"3.096","7769","Kozhikode","16","1","1000","2225","1"
"1.344","3606","Tver","5","1","1000","1030","1"
"1.987","6693","Ahmedabad","11","1","1000","1429","2"
"7.731","7542","Mangaluru","53","1","1000","2355","2"
"1.716","8070","Coimbatore","10","1","1000","7865","1"
"2.323","571","Orlando","13","1","1000","23057","1"
"4.251","1557","Lisbon","18","1","1000","15149","3"
"6.112","2401","Basel","49","1","1000","1407","3"
"3.975","459","Panama City","20","1","1000","15113","3"
"1.368","7899","Lucknow","6","1","1000","2586","1"
"9.991","219","Xalapa","55","1","1000","1972","2"
