"AVERAGE_NUMBER_OF_CHECKLISTS_REQUIRED","CITY_ID","CITY_NAME","MAX_NUMBER_OF_CHECKLISTS_REQUIRED","MIN_NUMBER_OF_CHECKLISTS_REQUIRED","NUMBER_OF_ATTEMPTS","TOTAL_CHECKLISTS_IN_CITY","TOTAL_PIGEONS_IN_CITY"
"5833.81","11699","Perth","10610","81","100","10782","4"
"3825.44","508","Cape Coral","6618","47","100","6655","6"
"2758.49","2937","Prague","6659","47","100","7868","5"
"568.67","88","Guadalajara","1172","33","100","1176","8"
"193.83","192","Provo","726","13","100","2694","5"
"8511.36","193","Salt Lake City","20715","574","100","24043","6"
"2201.84","8010","Kollam","5871","122","100","8642","5"
"5768.07","196","Albuquerque","16782","354","100","32973","6"
"14.56","870","Kitchener","60","1","100","12446","2"
"815.81","992","Port of Spain","1597","84","100","1741","9"
"6160.05","994","Ottawa","31550","239","100","60631","3"
"2256.1","514","Cali","3378","745","100","3380","14"
"2857.88","759","Toledo","5367","46","100","5390","3"
"20386.02","639","Chicago","73373","2844","100","221825","6"
"865.13","7714","Thalassery","1522","127","100","1529","4"
"1928.9","4328","Tel Aviv","4266","288","100","5314","6"
"45.18","1858","Murcia","255","1","100","1530","4"
"640.2","6882","Vasai-Virar","1387","109","100","1659","6"
"3165.41","8145","Thiruvananthapuram","5347","653","100","5353","6"
"1072.18","7973","Nagpur","2079","54","100","2084","6"
"1317.87","3255","Helsinki","3296","58","100","3375","5"
"386.57","7292","Jalgaon","964","27","100","1104","5"
"791.25","2285","Dortmund","2291","7","100","2423","5"
"1912.89","8021","Ettumanoor","3130","441","100","3231","7"
"12769.8","880","Toronto","59605","842","100","133477","4"
"149.16","640","Joliet","671","4","100","1950","3"
"721.09","1744","Bilbao","1293","73","100","1305","6"
"13859.57","642","Madison","36880","263","100","38421","3"
"14390.5","885","Baltimore","28835","231","100","30066","3"
"960.61","402","New Orleans","4824","43","100","18205","6"
"413.66","889","La Serena","1582","22","100","2032","6"
"10158.03","6998","Delhi [New Delhi]","18810","618","100","19011","6"
"5964.63","405","Edmonton","16945","200","100","21229","3"
"6732.82","11554","Singapore","11967","776","100","12023","11"
"1971.14","12761","Kaohsiung","3918","44","100","3931","6"
"791.37","8819","Kathmandu","1188","162","100","1202","8"
"367.53","7969","Alappuzha","988","2","100","1162","2"
"3027.32","13183","Auckland","6170","78","100","6185","4"
"23.46","2176","Amsterdam","123","2","100","1769","4"
"339.6","2054","Paris","1185","13","100","3720","5"
"6313.84","7062","Dehradun","8792","2712","100","8810","11"
"1026.74","8154","Tiruppur","3428","18","100","4346","3"
"240.54","1878","Zaragoza","1165","2","100","3493","4"
"828.93","650","Villavicencio","1062","318","100","1063","14"
"4508.39","530","Lima","6654","536","100","6668","6"
"18.17","1756","Edinburgh","131","1","100","2431","4"
"8.07","895","Buffalo","34","1","100","22463","2"
"444.45","532","Nashville","2059","18","100","5866","3"
"34953.14","775","Detroit","66779","1106","100","66847","3"
"7359.68","413","Kansas City","14596","80","100","14650","4"
"2571.86","655","Indianapolis","9133","7","100","21135","3"
"1989.42","1079","Asuncion","2791","559","100","2800","11"
"5857.35","6887","Mumbai","11946","641","100","11994","8"
"3062.57","419","Omaha","6080","241","100","6170","5"
"561.43","1639","Seville","1646","84","100","2431","5"
"347.99","6660","Jalandhar","1180","5","100","1350","5"
"856.61","13030","Adelaide","1988","147","100","2040","5"
"1254.82","9933","Dhaka","2909","139","100","3000","7"
"1662.75","7634","Payyanur","2464","331","100","2473","6"
"1165.09","2860","Berlin","2703","102","100","2888","5"
"860.13","3278","Cape Town","1405","137","100","1417","7"
"34.16","780","Raleigh","168","1","100","7186","2"
"814.95","3392","Sofia","1224","139","100","1224","5"
"2894.67","12749","Yuanlin City","4260","387","100","4267","5"
"5443.18","12748","New Taipei [Taipei]","13588","595","100","33111","8"
"58.88","3709","Pretoria","173","4","100","1453","6"
"1100.2","544","Pereira","1473","378","100","1475","13"
"22.77","666","Waukegan","131","1","100","13366","2"
"2096.17","2059","Barcelona","7089","173","100","9044","7"
"452.66","669","Lexington","2535","15","100","10072","3"
"662.83","429","Guayaquil","1031","133","100","1032","11"
"1127.74","8719","Puducherry","1614","279","100","1624","3"
"2037.45","12745","Taichung","4057","245","100","4367","5"
"578.86","12743","Hsinchu","1906","8","100","1966","4"
"1391.91","11536","Phnom Penh","1873","136","100","1874","6"
"6880.28","3280","Belgrade","14287","276","100","14315","5"
"13044.48","8733","Chennai","22975","3031","100","23938","7"
"543.88","3042","Zagreb","1342","53","100","1528","5"
"1534.18","8052","Hyderabad","4108","172","100","5379","5"
"7865.91","7086","Pune","11694","1751","100","11809","7"
"2906.0","4370","Jerusalem","3908","1064","100","3970","7"
"10737.55","795","Cleveland","42767","230","100","46837","4"
"50.34","2503","Oslo","192","4","100","1419","4"
"4458.36","557","Minneapolis [Saint Paul]","12865","279","100","83516","4"
"209.61","2983","Stockholm","755","6","100","1876","4"
"7253.64","679","Milwaukee","25973","38","100","42276","3"
"44718.6","316","Houston","86276","4180","100","86896","7"
"980.48","3037","Vienna","1926","107","100","1931","5"
"56835.97","559","Miami","84214","6635","100","84504","9"
"3219.04","12754","Chiayi","6511","336","100","6515","6"
"1651.35","12755","Tainan","2584","215","100","2607","5"
"13399.07","13130","Brisbane","22408","1571","100","22746","12"
"1001.98","11197","Kuala Lumpur","1646","205","100","1658","10"
"4463.51","7655","Kannur","5801","2208","100","5870","8"
"26094.18","562","Atlanta","56186","1093","100","56311","4"
"86.62","2757","Copenhagen","285","14","100","1507","4"
"1059.07","200","Monterrey","2381","53","100","2451","9"
"4607.42","322","San Salvador","8962","1163","100","9815","10"
"6.46","685","Cincinnati","23","1","100","11250","2"
"2318.91","564","Medellín","2831","816","100","2832","13"
"3358.16","444","Memphis","5093","464","100","5096","5"
"7588.81","324","Dallas","34400","489","100","57508","6"
"12.92","1786","Manchester","59","1","100","6915","4"
"99.06","1663","Dublin","372","3","100","5651","4"
"1854.9","569","Manizales","2762","419","100","2767","12"
"15.48","207","Ogden","51","1","100","4091","3"
"875.8","7769","Kozhikode","2133","39","100","2225","4"
"78.67","3606","Tver","425","2","100","1030","2"
"196.97","6693","Ahmedabad","920","12","100","1429","5"
"804.97","7542","Mangaluru","2164","144","100","2355","8"
"5945.79","8070","Coimbatore","7784","838","100","7865","7"
"81.72","571","Orlando","266","4","100","23057","5"
"53.84","1557","Lisbon","340","1","100","15149","4"
"800.37","2401","Basel","1403","117","100","1407","5"
"8506.78","459","Panama City","15048","1363","100","15113","11"
"1118.4","7899","Lucknow","2296","160","100","2586","6"
"1036.67","219","Xalapa","1939","158","100","1972","10"
